UserId,AverageGenre1,AverageGenre2,MyAverageGenre1,MyAverageGenre2,AverageDirector,MyAverageDirector,Clicks,AverageRating,MyAverageRating,FuturePredictedGenre
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Nigel Bennett,Krzysztof Kieslowski,178,2.52,2.48,FilmNoir
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Franz Hohler,Lee J. Cobb,184,2.52,2.48,Drama
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Jerry Abrams,Marina Abramovic,180,2.52,2.48,Drama
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Adventure,Biography,History,Mystery,Dwayne Adway,Lionel Barrymore,175,2.52,2.48,Biography
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Elizabeth Banks,Jodie Foster,183,2.52,2.48,Drama
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Sal Abbatiello,Khoren Abrahamyan,208,2.52,2.48,Drama
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Dylan McDermott,Michael Ritchie,181,2.52,2.48,History
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Fantasy,SciFi,Drama,Sport,Jeffrey Townsend,Lars von Trier,202,2.52,2.48,Drama
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Jonny Lee Miller,John Landis,201,2.52,2.48,Drama
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Armando Crispino,Pascal Maeder,181,2.52,2.48,Crime
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Brent Spiner,Ludwig Berger,216,2.52,2.48,Drama
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Adventure,Action,Crime,Adventure,Fritz Lang,Robert Zemeckis,198,2.52,2.48,Crime
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Paul Lazarus,Shannon Elizabeth,169,2.52,2.48,Fantasy
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Jack Draper,David Hare,216,2.52,2.48,Drama
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Andrew Bergman,Aktan Arym Kubat,215,2.52,2.48,Drama
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,RealityTv,Biography,Thriller,FilmNoir,Nina Hartley,Sydney Pollack,216,2.52,2.48,Action
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Hal Hartley,Mike Leigh,196,2.52,2.48,Drama
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Hiam Abbass,Melissa Joan Hart,190,2.52,2.48,Drama
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Michel Parry,William Lubtchansky,189,2.52,2.48,FilmNoir
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Mystery,Animation,Mystery,Comedy,Frank Capra,Tim Sullivan,203,2.52,2.48,Mystery
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Lionel Abelanski,Jean-Charles Tacchella,177,2.52,2.48,Drama
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,René Guissart,Alan Abel,214,2.52,2.48,History
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Sally Potter,Joseph-Louis Mundwiller,192,2.52,2.48,Drama
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Music,Musical,Animation,Action,Alberto Abruzzese,John J. Mescall,191,2.52,2.48,Animation
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Akira Kurosawa,Stuart Baird,179,2.52,2.48,News
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Peter Wunstorf,Joseph Mazzello,187,2.52,2.48,Drama
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Drama,Comedy,Drama,Comedy,Angel Acciaresi,Roger Spottiswoode,206,2.52,2.48,Drama
