UserId,AverageMovieCount,MyAverageMovieCount,AverageWatchLaterMovies,MyAverageWatchLaterMovies,AverageMovieClicks,MyMovieClicks,AverageRating,MyAverageRating,FuturePredictedMovieCount
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2941,38,4098,63,83,122,2.52,2.48,57
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2928,23,4087,47,69,112,2.52,2.48,27
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2945,36,4098,60,87,122,2.52,2.48,55
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2931,24,4086,46,71,108,2.52,2.48,27
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2941,37,4098,61,85,124,2.52,2.48,54
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2930,25,4087,48,71,111,2.52,2.48,29
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2941,36,4100,63,83,126,2.52,2.48,57
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2930,24,4087,45,73,111,2.52,2.48,27
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2944,38,4099,59,86,124,2.52,2.48,54
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2928,24,4085,47,73,110,2.52,2.48,30
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2941,40,4100,60,86,125,2.52,2.48,57
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2929,26,4084,45,69,109,2.52,2.48,29
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2943,37,4098,61,84,126,2.52,2.48,58
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2929,26,4087,47,70,109,2.52,2.48,27
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2943,39,4101,60,83,124,2.52,2.48,56
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2927,23,4084,47,69,112,2.52,2.48,29
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2945,37,4100,61,85,123,2.52,2.48,57
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2928,22,4085,46,70,112,2.52,2.48,26
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2943,39,4102,61,83,124,2.52,2.48,57
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,2930,22,4086,48,71,112,2.52,2.48,29
