UserId,AverageGenre1,AverageGenre2,MyAverageGenre1,MyAverageGenre2,AverageDirector,MyAverageDirector,Clicks,FuturePredictedGenre
7865dc03-d371-4a17-88cc-7ba0103a1941,Crime,Horror,Western,Biography,Melissa Joan Hart,Adrian Grenier,122,Romance
d32a4b9b-ce56-4739-a066-fd1870f0db5e,Musical,Crime,War,Family,Richard Benjamin,Michael Ritchie,296,Animation
8f27e002-d3e5-439f-a601-ea2a39f34ad8,Romance,Horror,History,Drama,Heinrich Gärtner,Matthias Grunsky,180,Fantasy
d32a4b9b-ce56-4739-a066-fd1870f0db5e,Biography,History,Crime,Animation,Jocelyn M. Ajami,Atom Egoyan,240,Musical
8f27e002-d3e5-439f-a601-ea2a39f34ad8,Drama,War,Biography,Biography,Tomaz Sarc,Ken Blakey,832,Family
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Family,Biography,Thriller,Music,Nan Triveni Achnas,Kenny Hotz,749,Mystery
cb9a5e24-f2d6-4aef-b519-34286e9753fb,Crime,Mystery,History,Action,Fred Williamson,John Hughes,615,Crime
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,Action,Drama,Musical,Romance,Erik MacArthur,Yrjö Aaltonen,973,Adult
d84e31f9-caaf-45ea-a800-9322f715d648,Crime,Adventure,Biography,Animation,Yahoo Serious,Sam Neill,673,Musical
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,Musical,FilmNoir,Romance,Documentary,Richard Berry,Tom Byron,803,SciFi
050e64c1-8cdd-4102-b703-125ff56652e1,Animation,History,Sport,Action,Theodoros Angelopoulos,Daniel Gélin,838,Adventure
d32a4b9b-ce56-4739-a066-fd1870f0db5e,Thriller,Music,Romance,Horror,Igor Sunara,Lucy Liu,163,Biography
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,Biography,Crime,Documentary,Thriller,Stephen Collins,Andrew Birkin,229,Fantasy
bda79ecd-904e-4928-8ce4-e5c53cc98110,Biography,History,Thriller,Documentary,Damian Lee,Lisa Abbatiello,840,Documentary
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,Horror,Documentary,Western,Action,Hal Holbrook,Julie Davis,546,History
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,FilmNoir,FilmNoir,War,Romance,Nancy Savoca,Mariann Aalda,883,Documentary
968630e1-f235-4d48-a6a2-e14828e24ec5,FilmNoir,Sport,Music,Horror,Anthony Perkins,Philip Abbott,564,Horror
a3cf3f05-d647-4112-8f5f-6ad667453e96,Adventure,Documentary,Biography,Animation,Peter Fonda,Eliette Abecassis,813,War
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,Fantasy,Romance,Documentary,Fantasy,George Miller,Carl Franklin,82,Thriller
8f27e002-d3e5-439f-a601-ea2a39f34ad8,Sport,Sport,History,FilmNoir,Theodore Bikel,Robert Forster,636,Drama
cb9a5e24-f2d6-4aef-b519-34286e9753fb,Comedy,Fantasy,Drama,Thriller,Abidin Dino,Helmut Berger,365,Thriller
2f2edd26-2309-446f-a501-efd4ff95698c,Thriller,History,Western,Action,Angel Acciaresi,Janusz Kaminski,896,Romance
d84e31f9-caaf-45ea-a800-9322f715d648,Romance,Biography,Family,Crime,João Abel Aboim,Telly Savalas,331,Musical
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,Thriller,Music,Romance,Romance,Joanna Kerns,Noah Emmerich,550,Documentary
816925f2-1a84-4f5e-8f68-9bb61e47a831,Adult,Documentary,Horror,Biography,Tony Abatemarco,Gérard Pirès,461,Romance
8f27e002-d3e5-439f-a601-ea2a39f34ad8,Action,FilmNoir,Crime,Comedy,Gian Maria Volontè,Brian Keith,390,Comedy
