UserId,AverageRuntime,MyAverageRuntime,AverageWatchLaterMoviesRuntime,MyAverageWatchLaterMoviesRuntime,AverageMovieClicks,MyMovieClicks,FuturePredictedRuntime
dbcbbe6c-08b2-41fc-876f-e5c0fd3c02cd,144,91,397,959,81,0,90
3c176379-742c-4534-91e4-addf71b44cee,75,50,885,0,90,7,87
395e3f78-f527-434b-a285-8cb7d6c9859a,86,105,187,704,29,53,86
3c176379-742c-4534-91e4-addf71b44cee,90,70,482,194,31,93,92
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,65,91,246,953,63,70,93
395e3f78-f527-434b-a285-8cb7d6c9859a,105,94,726,721,63,17,74
7865dc03-d371-4a17-88cc-7ba0103a1941,93,71,513,602,56,21,94
1f2d4b1b-7013-4fd6-8b9e-e914acc4dcf2,112,107,326,707,67,69,72
a3cf3f05-d647-4112-8f5f-6ad667453e96,118,91,817,761,21,55,87
d32a4b9b-ce56-4739-a066-fd1870f0db5e,75,119,310,416,55,46,90
d32a4b9b-ce56-4739-a066-fd1870f0db5e,110,82,502,706,71,28,104
8f27e002-d3e5-439f-a601-ea2a39f34ad8,100,100,855,5,67,41,108
7865dc03-d371-4a17-88cc-7ba0103a1941,100,107,987,599,34,46,60
a3cf3f05-d647-4112-8f5f-6ad667453e96,90,97,117,603,87,16,105
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,72,105,327,8,73,85,90
968630e1-f235-4d48-a6a2-e14828e24ec5,63,100,186,7,94,43,129
7865dc03-d371-4a17-88cc-7ba0103a1941,78,94,238,735,82,15,75
050e64c1-8cdd-4102-b703-125ff56652e1,59,105,270,467,34,47,137
395e3f78-f527-434b-a285-8cb7d6c9859a,143,155,134,922,3,46,45
4a8b4a64-5dc3-4e33-a858-09a96518a389,93,90,83,434,1,1,98
d32a4b9b-ce56-4739-a066-fd1870f0db5e,96,140,364,570,93,43,85
2cabaf29-f4f8-4ec8-b0f2-f15d0147dd54,98,87,731,334,26,83,84
cb9a5e24-f2d6-4aef-b519-34286e9753fb,115,55,837,742,45,8,80
d32a4b9b-ce56-4739-a066-fd1870f0db5e,56,82,486,684,83,61,88
d32a4b9b-ce56-4739-a066-fd1870f0db5e,115,86,166,25,66,29,82
7e0ac2e6-c2a9-4176-a64d-ffb23fb5c6fd,80,89,905,669,48,83,94
2f2edd26-2309-446f-a501-efd4ff95698c,93,66,436,691,32,76,98
